PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
ACONSELHAMENTO GENÉTICO,,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATENDIMENTO/ACOMPANHAMENTO EM HOSPITAL-DIA PSIQUIÁTRICO (COM DIRETRIZ DE UTILIZAÇÃO),,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,109,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
"ATENDIMENTO INTEGRAL AO RECÉM-NASCIDO (SALA DE PARTO, BERÇÁRIO E UTI)",,,,,Seg. Hospitalar Com Obstetrícia,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATENDIMENTO MÉDICO DO INTENSIVISTA EM UTI GERAL OU PEDIÁTRICA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATENDIMENTO PEDIÁTRICO A GESTANTES (3º TRIMESTRE),,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATIVIDADE EDUCACIONAL PARA PLANEJAMENTO FAMILIAR,,,,Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATIVIDADE EDUCATIVA EM SAÚDE BUCAL,,,Odontologia,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
"ATIVIDADE EDUCATIVA EM ODONTOLOGIA PARA PAIS E/OU CUIDADORES DE PACIENTES COM NECESSIDADES
ESPECIAIS",,,Odontologia,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONDICIONAMENTO EM ODONTOLOGIA (COM DIRETRIZ DE UTILIZAÇÃO),,,Odontologia,,,,,,86,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ESTABILIZAÇÃO DE PACIENTE POR MEIO DE CONTENÇÃO FÍSICA E/OU MECÂNICA,,,Odontologia,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA DE ACONSELHAMENTO PARA PLANEJAMENTO FAMILIAR,,,,Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA COM ENFERMEIRO OBSTETRA OU OBSTETRIZ (COM DIRETRIZ DE UTILIZAÇÃO),,,,Ambulatorial,Seg. Hospitalar Com Obstetrícia,,Plano Referência,,135,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM FISIOTERAPEUTA,541/2022,01/08/2022,,Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA MÉDICA,,,,Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA,,,Odontologia,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA INICIAL,,,Odontologia,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA DE URGÊNCIA,,,Odontologia,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA ODONTOLÓGICA PARA AVALIAÇÃO TÉCNICA DE AUDITORIA,,,Odontologia,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM PSICÓLOGO,541/2022,01/08/2022,,Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Odontologia,Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
SESSÃO COM PSICÓLOGO,541/2022,01/08/2022,,Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM FONOAUDIÓLOGO,541/2022,01/08/2022,,Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
SESSÃO COM FONOAUDIÓLOGO,541/2022,01/08/2022,,Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA COM NUTRICIONISTA (COM DIRETRIZ DE UTILIZAÇÃO),,,,Ambulatorial,,,Plano Referência,,103,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA/AVALIAÇÃO COM TERAPEUTA OCUPACIONAL,541/2022,01/08/2022,,Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
SESSÃO COM TERAPEUTA OCUPACIONAL,541/2022,01/08/2022,,Ambulatorial,,,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
"TRANSPORTE EXTRA-HOSPITALAR DE PACIENTES GRAVES COM ACOMPANHAMENTO MÉDICO, DO
ESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SAÚDE",,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
VISITA HOSPITALAR,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,"CONSULTAS, VISITAS HOSPITALARES OU
ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE CÓRNEA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
E HOSPITALARES"
ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE MEDULA ÓSSEA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,AVALIAÇÕES/ACOMPANHAMENTOS,"PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
E HOSPITALARES","PROCEDIMENTOS CLÍNICOS AMBULATORIAIS
E HOSPITALARES"
